parameter,cluster,bus,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
load,0,1,101.23620000000004,97.2844,94.69600000000003,94.2414,96.25299999999999,100.24780000000003,103.19460000000002,109.67339999999999,118.915,128.46419999999998,137.60579999999993,145.71959999999999,152.76199999999997,157.2766,159.52460000000002,159.43440000000004,158.73440000000002,155.1164,148.71540000000002,143.77979999999997,136.6288,126.56420000000001,116.87020000000004,109.12560000000002
load,0,2,104.31220000000002,100.57620000000003,98.1186,97.09720000000003,98.48700000000001,101.50659999999998,103.38860000000001,109.23800000000003,117.03600000000002,125.78239999999997,134.52099999999996,142.41899999999998,149.28959999999998,154.1996,157.2424,158.3754,156.8798,153.8176,148.004,141.963,135.8566,126.8276,117.85220000000002,110.55500000000002
load,0,3,160.68040000000002,158.36620000000005,156.68219999999997,155.608,155.59839999999997,156.2998,156.48519999999996,159.27860000000004,163.87639999999996,168.292,172.8382,177.04120000000003,181.0548,183.9176,185.5284,186.19619999999998,185.4756,183.95159999999993,181.49880000000002,178.0774,175.67579999999998,171.47099999999998,167.98059999999998,164.5596
load,0,4,257.7778,248.87400000000008,243.87819999999996,243.5495999999999,248.98660000000007,255.59620000000004,259.43240000000003,274.12119999999993,295.6094000000001,318.43980000000005,339.0350000000001,355.4469999999999,368.5164000000001,376.0896000000001,378.4362000000001,376.8386000000001,370.76740000000007,359.9836,347.56379999999996,338.80619999999993,326.64140000000003,307.8540000000001,288.14759999999995,271.04619999999994
load,0,5,35.407,33.907999999999994,32.873000000000005,32.359399999999994,32.74079999999999,33.840999999999994,33.98899999999999,35.928799999999995,39.0856,42.45620000000002,45.602,48.28859999999999,50.49379999999999,51.965600000000016,52.50699999999998,52.523999999999994,51.7528,50.233200000000004,48.334999999999994,47.18499999999999,45.766200000000005,43.08360000000002,40.11019999999999,37.455
load,0,6,686.331,654.2798,633.4323999999999,626.7566,640.2796,666.3249999999998,680.4240000000002,719.3719999999998,779.7511999999999,851.6217999999999,920.5826000000001,982.433,1035.5360000000003,1074.8082,1098.633,1110.8390000000002,1107.9200000000005,1083.4306000000001,1037.0658,993.4987999999997,947.7376000000003,876.6743999999998,803.6333999999998,741.4764000000002
load,0,7,48.230599999999995,45.97860000000001,44.51299999999999,44.0432,44.993599999999994,46.824400000000004,47.815,50.552,54.79460000000002,59.8456,64.69200000000002,69.03940000000003,72.77019999999999,75.5292,77.20360000000001,78.0616,77.85640000000001,76.13619999999999,72.87739999999998,69.8154,66.6,61.60519999999999,56.4728,52.105199999999996
load,0,8,196.71299999999997,186.3454,179.7466,177.3912,181.6174,189.3528,192.57120000000003,200.93979999999996,215.7636,233.6432,251.98559999999998,269.50320000000005,285.77019999999993,299.00219999999996,307.8055999999999,312.93219999999997,315.08459999999997,311.78279999999995,300.8067999999999,288.68960000000004,275.11560000000003,254.24419999999995,232.01259999999994,213.09199999999998
load,0,9,215.87160000000006,207.447,201.9254,200.9552,205.2464,213.76460000000006,220.04819999999992,233.86300000000003,253.56820000000005,273.9311999999998,293.42560000000003,310.72720000000004,325.744,335.37120000000004,340.16460000000006,339.9706,338.47900000000016,330.76380000000006,317.11599999999993,306.59020000000004,291.34180000000003,269.88040000000007,249.20740000000006,232.697
load,0,10,1218.3177999999998,1161.4244,1124.4164,1112.5675999999999,1136.572,1182.8064,1207.8344000000002,1276.9683999999997,1384.1508,1511.7299999999998,1634.1436,1743.9355999999998,1838.1991999999993,1907.9112,1950.2015999999996,1971.8713999999998,1966.6882,1923.2168000000001,1840.9147999999996,1763.5782000000004,1682.3448000000003,1556.2010000000002,1426.5436000000002,1316.2081999999998
